"","PL1013","PL1015","PL1023","PL1043","PL1159","PL1182","PL1226","PL1362","PL1365","PL1383","PL1493","PL1506","PL1618","PL1626","PL1627","PL1648","PL1720","PL1755","PL1932","PL1949","PL1962","PL2102","PL2169","PL2195","PL2209","PL2291","PL2338","PL2353","PL2360","PL2406","PL475","PL519","PL629","PL687","PL808","PL810","PL893"
"ENSG00000180185",822,152,293,456,0,0,220,956,0,405,675,0,0,0,0,0,514,0,215,1527,439,982,1624,329,755,398,176,800,1097,3510,425,976,0,21,252,400,0
"ENSG00000180190",0,214,294,234,0,0,0,0,0,690,494,0,0,0,0,0,0,0,85,652,345,322,247,8,210,0,0,0,38,333,2539,322,519,0,48,274,208
"ENSG00000180198",835.999,282,87,618,516,0,1623.999,177,405,0,287,333,0,0,0,0,102,250,290,1043,165,741,2103.999,1621,0,299,72,191,802,728,62,506,144,1031,990.999,308.791,1254
"ENSG00000180228",0,179,147,187,921,0,307,224,647,133,1335,136,0,3690,454,0,642,135,206,478.999,965.999,617,315,372,0,138,125,476,647,735,79,70,146,233,729,213,591
"ENSG00000180229",0,0,0,0,0,0,189.79,0,0,667.178,0,763,0,0,0,0,861.94,0,0,0,0,0,0,0,0,60.133,0,380.357,305.26,0,0,0,56.051,4.485,0,366.966,0
"ENSG00000180233",989,159,453.942,675,0,1,179,894,0,664.955,104.137,495.08,2579,0,740,0,2244.347,796,126,2117,821,22,349,2021,441,306,0,1379,357,1265,21,162,0,398,893,382.758,431
"ENSG00000180257",0,1,376,712,1,235,131,401,757,744,47,0,0,0,0,0,0,0,382,1315,359,855,12,412,0,47,0,310,471,660,300,0,56,1,322,112,5
"ENSG00000180263",2350,330,945,773,163,538,1094,143,131,1676,2163,0,1426,2310,1090,0,1079.999,221,507,1250,273,1385,840,2059,215,316,1486,819.999,1411,2779,694,416,174,1502,1351,652,1387
"ENSG00000180304",740,1198.999,1802,3813,1822.001,2242,3020.999,1649,1514,2900,3530,662,3002,3830,2223,2243,2381,2756,2856,8226,4017.001,4878,4375,2891.999,1748,1029,1991,5118,16315,6429,2680.001,1184.999,1539.001,2604,6672,1451,3833
"ENSG00000180316",0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,246,0,0,40,207,91,127,0,0,0,38,0,723,23,0
"ENSG00000180329",967,658,1277,729,754,628,724,187,832,2561,852,0,0,47,596,0,117,261,806,3056,714,1677,688,987,1438,143,2221,2550,559,1861,646,805,881,1262,955,618.999,17
"ENSG00000180346",164,42,101,23,0,0,0,0,0,0,0,0,0,381,63,0,463,0,0,0,0,0,134,59,359,0,0,0,286,0,99,0,7,0,48,59,0
"ENSG00000180353",12640.001,5240,19894.999,18219.001,10914,14517,13086,8273,5004.999,12712.001,23070.999,1032,1269,73,11250.001,4323.001,17361,10745.001,6699,24203,21823.001,29217,25732,22426,19202,5383,17530.001,23378,49805,20905,10740.999,6503,5420,8725,36038.999,14344,11273
"ENSG00000180354",18207,6554.312,19857.836,5975.001,20693,11854,8392.473,7155.999,3742,11919.551,10782,3193,8487.791,7703,9717,2903,10082,2878,7454,30571.175,11824,22658,27270.001,31874,27824,4562.912,18250,11039.999,16070,15192.999,35317.316,5806,3520,5090,26551,4634,8040
"ENSG00000180357",3592,1034,8556,5110.001,2810,2705,5816,3825,3725,6360,8879,139,3962,2704,7114,1176,7056,4695,3919,10864,9649,11840,13767,6557,5075,2068,4435,7068,9507,6134,1640,2440,2676,4535,8522,4144,3959
"ENSG00000180370",5903,2403,6742,6997,7138,6023,6392,4666,1091,5101,5219,2176,2030,672,3438,8266,7460,1346,2703,9108,4718,9445.993,8915,13230,10721,1299,6822,16455,16323,6496,7414,3051,1981,5547,8881,4263.001,3550
"ENSG00000180376",4099.999,408,3197.001,2076,1231,4868,900,589,1639,1822.001,2373,945,706,0,669,2105,2086,1413,992,4572,1323,2667,4091,1515,1448,430,944,4573,5899,880,2076.002,1417,611,1619.999,1403.001,1396,1447.001
"ENSG00000180398",243,149,953.001,1285,898,909,616,652,0,1966.002,665,0,730,207,1293,0,2050,0,823.999,4987,735,1099,407,1420,230,454.001,1175,1368,999,1155,946,183,670,280,2037.001,1356,1132.001
"ENSG00000180423",334,0,0,180,0,0,170,0,0,0,0,0,0,0,0,175,0,0,27,0,0,356,0,560,0,1,30,0,0,0,111,0,0,0,854,174,51
"ENSG00000180425",1044,129,96,14,0,0,75,0,0,54,0,0,0,0,0,0,94,848.752,201,0,0,421,0,897,0,49,111,0,64,0,164,329,17,8,50,37,0
"ENSG00000180448",9754,1840,10651,9086.001,2244,7687,4053,3096,1686,8638.001,14053,2719,1219,495,4802,2539,5353,6150.001,2921,19436,9441,10036,7245.999,7950,14583,1050.999,13611,10397,10995,8653,3928.999,2363,1899,5107,15061,5442,5519
"ENSG00000180479",0,0,89,0,0,0,0,0,0,0,0,0,457,0,0,0,2453,51,0,0,0,0,10,0,0,51,14,151,0,106,90,0,0,20,41,180,9
"ENSG00000180488",94,67,209,871,0,0,91,373,427,319,141,0,0,0,518,0,1229,0,284,163,567,443,553,1237,678,240,0,735,952,82,434,1,217,0,1115,648,220
"ENSG00000180530",2666,771,5746,1510,621,2909,2247,658,91,3139,2358,606,2358,1834,2668,2,3564,1842,1584,5301,2406,5153,5792,10626,7133.001,428,2762.001,5516,7814,6976,15998.001,861,1305,2244,3698,1921.001,1385
"ENSG00000180537",2259,0,375,1782,4248,0,1113.001,0,0,92,0,502,7,0,16,0,0,0,181,11,0,0,258,384,1478.999,35,0,260,0,0,175,68,0,1339,94,0,0
"ENSG00000180543",508,98,282,26,0,0,8,0,85,0,9,0,0,0,0,0,145,0,0,0,0,467,0,0,1513,62,16,0,380,120,165,193,0,0,143,48,126
"ENSG00000180549",1477,114,0,313,0,0,0,48,0,0,0,0,113,0,174,0,579,0,7,0,0,482,0,0,0,40,0,207,1257,0,464,38,255.06,0,171,61,108
"ENSG00000180573",11727,5066,18802,7070,12557,3752,10976,4824,2164,11722,19192,2678,767,976,6437,7406,19885,4260,2578.001,30805,9095,17198,14134,54471,19016,3189,10542,22098,35343.001,16613,91091,6573,4347,8943,17608,11956,7560.999
"ENSG00000180574",54.826,88.334,7.246,243.04,2.244,11.071,2.008,2.001,0,1.008,1.006,0,1,0,0,0,244.746,2.088,0,53.188,35.063,95.52,2.052,0,0,20.604,0,4.224,5.013,53.317,4.034,0,1,1,86.003,80.449,2.088
"ENSG00000180596",7141,2114.001,7636.999,5462,6713,5424,6122.99,3700.989,3895,8795.999,4082.992,4857,7693,2826,3917.811,4213,6872.982,3438,4366.992,11273.849,4773,8873.989,3613,7234.998,11161,1258.993,4092,10301.984,19273.995,6717,5244.997,2016,2229.979,4242,9886.992,4491,3022.983
"ENSG00000180626",1,97,207,1005.001,0,0,168,0,0,0,0,0,0,0,69,1066,0,273,0,1217,622,642,0,0,0,80,477,134,139,1481,675,4,0,0,5,0,109
"ENSG00000180628",4245,1186.001,4389,2128,4934,2929,1205,474,993,2729.999,2752.001,1267,4936,3763,5259.999,684,3874,1578,822,7905,914,3507,6283,14105,3795,768.001,2513,5339.999,5379.001,5474,17537.001,596,653.999,1071,2911.999,1324,1526.001
"ENSG00000180644",805,614,1107,529,106,1642,795,344,159,1308,885,87,0,0,618,0,0,330,220,2442,1485,1131,59,275,3022,142,199,940,541,1981,134,51,991,1543,3286,792,1162
"ENSG00000180667",24312,2652,4991,13687,14034,13544,5036,2208,16538,6640,9425,7304,1097,1603,10411,1143,12700,5003,4053,10483,2429,12178,25042,25137,12577,1917,3222,7152,10329,12378,9346,7349,4393,5790,5657,3712,6816
"ENSG00000180694",351,129,301,901,2257,0,254,515,327,56,599,0,982,716,730,0,128,0,125,826,0,754,92,1008,764,112,830,649,1052,741,1081,478,0,574,720,146,92
"ENSG00000180739",121,50,1000,469,0,14,821,84,0,489,465,0,396,0,188,0,0,541,65,154,311,1155,344,479,1344,153,0,946,369,0,25,69,153,0,475,265,0
"ENSG00000180758",0,0,0,56,0,0,0,97,0,0,0,0,0,530,0,0,85,0,0,0,0,117,123,999,0,10,0,125,26,98,15,0,99,0,155,0,0
"ENSG00000180769",0,0,81,0,0,3,0,61,0,0,0,0,376,0,0,0,0,0,0,0,0,33,1,0,22,0,0,0,687,0,396,0,129,171,186,0,0
"ENSG00000180773",0,0,145,291,3450,0,123,0,194,34,2,338,0,0,430,0,87,0,0,273,447,301,135,0,757,25,0,1241,1676,15,552,59,0,292,260,96,307
"ENSG00000180776",84,197,4001,2254,2556.001,721,2023,1159,715,2912,1114,58,0,0,1121,0,2186,496,1059,2949,5237,2283,4591,996,2842,277,847,3959,8156,5659.001,2070,536,549,3427,2641.999,1216,383
"ENSG00000180787",1164,138,94,156,0,0,26,413,314,47,618,0,0,0,88,0,0,0,600,171,49,58,0,0,0,156,0,0,19,0,43,349,522,119,1383,93,376
"ENSG00000180817",882,480,1533,432,2,183,490,0,0,478,940,0,0,0,565,0,1981,353,212,1186,461,549,475,553,846,125,191,1284,1737,674,499,421,87,340,1027,762,250
"ENSG00000180822",0,419,214,899,0,0,180,230,775,927.001,665,0,0,0,0,0,0,0,53,1375,238,1019,293,262,2182,277,1112,653,1111,607,109,0,0,42,495.999,518,75
