"","PL1013","PL1015","PL1023","PL1043","PL1159","PL1182","PL1226","PL1362","PL1365","PL1383","PL1493","PL1506","PL1618","PL1626","PL1627","PL1648","PL1720","PL1755","PL1932","PL1949","PL1962","PL2102","PL2169","PL2195","PL2209","PL2291","PL2338","PL2353","PL2360","PL2406","PL475","PL519","PL629","PL687","PL808","PL810","PL893"
"ENSG00000000419",35,200,1181,414,0,1039,89,851,0,389,521,0,0,0,520,0,997,34,175,1836,3177,451,241,368,1374,61,362,1211.001,997,1210,253,0,368,619,1023,453,0
"ENSG00000000457",403,0,50,564,304,321,585,466,0,119,472,0,103,0,0,0,1743.999,178,322,135,106,897,590,0,296,38,90,549,1495.999,2717.001,612,520,9,518,666,201,365
"ENSG00000000460",284,0,377,0,120,0,153,0,0,0,0,0,0,0,0,0,714,0,0,0,557,81,22,224,200,123,450,1209,668,0,120,0,242,556,405,65,0
"ENSG00000000938",2863,1670,6676.001,4711.001,3291,2213,3877,3773,4064,6874.001,5200,2541,2594,1257,5328,766,2599,3807,3238,5031,7661,6820.001,7178,4186,6391,1238,4550,9406,27263,7853,2273,3769,1846,3838.999,11801,4797,4973
"ENSG00000000971",0,20,666,83.289,0,0,0,197,0,963,188,0,0,0,0,3,0,0,0,243,0,305.507,0,0,0,18,114,0,348,197,38,0,54,0,204.815,0,61
"ENSG00000001036",0,55,18,278,1923,0,337,0,0,171,257,0,0,0,0,0,134,0,0,412,0,342,0,1125,0,0,82,132,531,750,70,122,62,0,207,101,0
"ENSG00000001084",4109.999,432.001,1206.001,2283,1999,393,1183.999,557,692,1053,1666.999,731,843,71,2803,2097,1298,807,1780.001,991,1132,2088,4707.999,2536,264,244,3326.999,612,4540,1669,1221,778,855.999,3286,1031,1394,2764
"ENSG00000001167",757,395,804,2281,2745,1980,2269,561,470,1804,1404,866,9,0,1515,0,0,845,702,2770,1029,3254,3358,791,590,268,202,1030,2677,1544,624,1205,201,1218,1907,643,910
"ENSG00000001460",142,0,336,0,118,0,102,0,0,0,19,0,0,0,0,0,0,0,189,0,0,111,565,0,0,0,0,0,25,0,0,0,0,379,0,0,0
"ENSG00000001461",372,176,657,154,826,0,833,64,197,796,509,0,0,0,262,0,792,0,451,1856,508,704,496,808,346,241,88,109,1163,0,323,172,194,229,841,101,804
"ENSG00000001497",1951,563,1022,1463,51,0,3846,585,824,2145,2151,93,2200,37,1317,0,896,646,74,4107,4142,2443,3701,6866,2486,677,2309,1673,1239.001,3144,179,476,1369,3434.001,6810,1849.001,2620
"ENSG00000001617",0,10,0,0,0,0,0,237,0,0,107,0,0,0,0,0,0,0,76,356,0,45,0,561,0,17,22,119,98,0,0,0,5,0,51,0,336
"ENSG00000001629",1425,649,1771,791,1598,0,582,248,2091,494,1371.001,147,2215,599,1544,0,1582,296,1333,1641,1900,1293,1252,1908,3275,509,595,3032,2325,5324.001,988,1136,880.001,889,3124,1067.001,2475
"ENSG00000001630",0,0,0,171.96,0,0,69,0,370,415,0,0,0,0,0,0,0,0,0,4,0,0,248,653,200,70,0,659,287.169,412,102,0,5,302,50.186,55.833,0
"ENSG00000001631",1528,193.588,2232.037,1878.004,1077,1495,540,660,829,1076,1918,0,170,1208,663,561.583,256,352,211,4051.056,347,1290.766,1458.999,766,683.999,383.001,1433,2222,1524.509,2748,1486,518,803,594,2179.65,596.617,866
"ENSG00000002016",0,0,0,58,0,0,0,0,0,0,0,0,0,0,155,0,0,0,0,49,537,41,0,0,0,0,0,47,319,0,53,104,0,77,296,0,0
"ENSG00000002330",0,195,852,8,278,377,358,857,0,707,847,723,0,0,0,0,843,9,622,0,892,969,306,0,274,93,486,1247,955,0,267,865.999,464.999,527,391,354,128
"ENSG00000002549",1591,380,1828,2715,831,1614.999,1848,411,1832,5670,1868,1438,4283,746,486,0,1811,1641,1004,6113,1741,2424,3513,2051,1950,465,2967,3027,2112,4138,628,461,193,265,2050,1877,1636
"ENSG00000002586",3887,1049,3609.001,1408,737,2087,2601.999,1575,1018.001,3592,5550.001,331,1776,172,1933,512,2110,1799.001,1086,9717.001,3308,3268.999,3428.999,7607.999,1886,648,1885,5542,4557,1811.001,15545.999,1046.001,725,1052,2962,1504.001,2489
"ENSG00000002822",5558,215.001,3148.999,1852.291,1228,0,2127.999,413,667,611,1232.001,1782,2340,924,1575.001,945,39,377,1957.999,5213,780.854,1413.999,3826.591,1131,2174,526,8539.553,2256.741,3675.081,1715,975,424,678.999,5004.001,4654.622,329,1412
"ENSG00000002834",7270.999,1789,11566,9739,5668,6946,7117.999,4321,2030.001,13508.999,9740.001,4662,4657,7382,4922.999,533,10575.001,5044,5089.001,10818,9790.999,11889.001,8851.999,16047,8867,2882,13497,14723,21942.001,9078.001,7647,2161.001,2835,5719,20339,6214.999,7473.999
"ENSG00000002919",925,74,534,1467,1,0,287,382,324,350,530,0,0,0,202,1368,97,497,126,1295.001,1000,1278.001,214,0,305,394,585,741.999,1892.002,3289,1383,29,340.001,484,321,199,94
"ENSG00000002933",707,187,0,0,0,0,0,0,0,256,592,0,0,0,0,0,0,305,0,0,0,71,0,212,0,0,0,1155,2812,0,145,76,0,0,0,425,0
"ENSG00000003056",567,170,537,401.999,0,0,912,286,252,388,881,8,0,0,1147,0,0,0,602,1295.001,4,2001,826,1273,1404,287,161,2956,1274,511,920.001,277,310,193,1601.999,849,1384
"ENSG00000003147",412,144,544,128,1093,1,227,436,0,278,502,605,1143,2877,525,1482,1830,14,423,277,172,1353,1511,201,0,196,472,515,549,116,877,357,467.001,119,877,225,895
"ENSG00000003249",342,0,0,23,0,0,0,0,0,0,511,0,0,152,828,0,1027,0,110,984,438,0,0,0,0,168,0,161,131,0,0,74,0,0,0,545,208
"ENSG00000003393",0,91,150,309,863,0,475,268,0,4,473,0,0,0,1299,1860,1517,0,630,1134.001,803,803,1439,204,0,163,763,1290,0,349,547,271,643,769,1204,190,1584
"ENSG00000003400",965,167,971.999,1479.999,773,971,92,519,19,1166,319,1635,220,0,476,0,243,1615,760,1092,1128,1947,431,2432,2341.001,158,1350,1222,1484,964,918,110,390.999,706,2313,654.999,310
"ENSG00000003402",3542.999,5147,22083.53,13289.321,8127,2025,13291.001,7094.001,2502,22849.998,17634,1107,7862.089,1790,8647.999,5493,23389,2898,8840,37976,20252,23311.001,22335,21743,32191,4682.005,23226.259,34596,58611.999,21752,12311.895,6941,8570.999,13558,32139.001,20255.001,15704
"ENSG00000003436",1454,224,1078,474,907,0,825,86,0,305,459,192,660,0,2,1867,96,0,210,2091,86,852,726,2238.999,4,349,194,117,1033.999,2589.001,2999,307,645.001,547,822.999,725.999,23
"ENSG00000003509",0,269,5,38,0,2920,0,210,0,0,582,0,1068,0,533,0,450,0,0,587,0,107,79,491,0,10,0,0,238,448,327,0,112,211,97.999,939,0
"ENSG00000003756",1742,1578.157,5246.105,2297,2355,4825.999,2540.186,2937.012,661,3257,3472.115,534,2335,1246,5019,251,3289,635.902,1796.001,10765.887,10240,5394.578,6812.623,6270.308,6523.224,1027,4631,6937.001,9368,4740,6109.494,1717.999,1529.161,8234.999,8173.678,3335,4566
"ENSG00000003989",0,0,0,5,0,0,58,171,8,40,54,0,0,0,0,0,0,0,34,1,0,0,0,526,0,0,0,96,274,38,0,153,0,0,0,50,0
"ENSG00000004059",727,359,869.001,959,909.823,1212,993,1709,383,972,1224,961,35,0,1211.001,0,589,0,587,2638,1316,1280,551,3311,585,103,1372.001,2575,2017.999,2512,1708,64,446,991,1724,1341.001,590
"ENSG00000004139",2211,101,173,402.974,0,0,648,213,0,335,641,490,0,0,0,0,2912,737,204,66,0,334,0,64,0,14,0,29,105,27,40,0,138,0,192,561.57,0
"ENSG00000004142",479,413,666,2234,0,2647,1865,599,1391,2314,162,0,0,133,2093,1,2400,608,320,2234,584,1212,1329,1521,284,254,3817,2535,1401,1732,387,647,182,128,1747,970,312
"ENSG00000004399",3379,659,2259,2034,0,0,977,0,119,2071,1504,1106,0,0,1507,0,980,0,1422.999,3649,2723,3229,1270,2098,1925,600.999,3372.001,775,6434,449,526,191,872,96,3437.999,800,794
"ENSG00000004455",192,512.999,1431,1178.266,821,1462,1792,1269.999,463,3010,1432,0,0,1504,538.999,1299,683,1171,1191,1183,1000,3732,2811,2444.001,2222,525,1355,2810.999,3346.915,1091,1874.999,239,425,653,2592,1055,1488
"ENSG00000004468",0,248,18,324,0,0,157,76,0,713,43,0,0,815,180,2544,305,0,82,345,218,163,1067,708,0,243,424,493,174,1953,249,195,202,472,271,545,211
"ENSG00000004478",2783,461,3139,1648,841,1470,1425,418,3024,3021,3181,171,1448,0,1029,3674,3182,301,1356,6134,1386,4225,3359,4071,3127,245,1467,2250,4421,3477,1013,1,935,3316,1846,1696,128
"ENSG00000004487",1646,1295,5548.001,3514,815,1372,1707.999,3418.001,2066,2763,3269,332,224,2040,1666,1073,2727,2844,1929,9893,3348,7362,7890,4973,2888.001,1189,4048.001,6807.001,12157,4566,6025.999,2262,2342,7241.001,6417.001,5232.999,2740
"ENSG00000004534",4932,1781.841,4952.895,2846,4608,4871,1944.814,3348.988,874,4219,3374.886,386,3022,2886,1857.001,2337,3290,1634.098,1685,6648.111,1433,4283.421,1602.376,2649.693,2923.776,394,851,1773,7782.999,7217,3727.505,705.999,750.838,3287,5490.321,1813,2642
"ENSG00000004660",129,0,154,269,0,0,0,0,499,925,0,0,0,0,0,0,0,0,501,55,3450,24,0,10,0,8,416,68,307,3108,135,0,559,0,523,597,673
"ENSG00000004700",2127,234,1521.344,582,1321,0,623,932,0,868,490,0,871,0,207,0,1405,0,637.561,3523,518,1969.999,1756,3010,5705,135.999,413,192,1823,1589,1384,379,150,1083,1697,628,1574
"ENSG00000004766",843,76,1212.001,1638.999,53,0,480,105,917,1,331,0,0,0,606,0,397,0,63,518,0,745,317,111,977,63,684,714,305,1208,525,460,277,100,619,341,241
"ENSG00000004776",0,0,0,0,0,0,0,0,0,0,174,0,0,410,0,0,0,0,81,152,0,353,171,0,0,18,0,0,0,0,50,0,8,0,34,0,0
"ENSG00000004779",216,173,957,554,208,2,210,857,631,1772,256,621,1163,0,0,0,986,392,25,1928,2234,1179,613,463,0,113,291.999,1148,445,2436,635,142,121,662,2176,297,524
"ENSG00000004799",1818,163,1027,1345,266,1081,1038,0,1545,938,1600,0,0,0,428,7,3290,722,1071,2333.001,2831,1902,2128,1931,1335,647,2424,2382,1955,2015,1386,299,555,453,1230,2069,626
"ENSG00000004809",166,0,0,0,0,0,543,0,694,655,3,0,0,0,0,0,0,0,0,463,0,41,172,0,0,0,0,0,29,0,106,66,0,0,542,61,0
"ENSG00000004864",146,253,683,290,0,0,661,16,712,514,121,0,0,0,758,0,660,0,40,557,111,1117,716,554,1451,192,1641,563,2633,1228,532,297,246,80,725,218,352
"ENSG00000004866",478,0,481,135,1484,0,457,0,0,0,811,0,0,0,531,0,0,0,104,511,0,953,257,892,569,121,0,0,290,0,933,111,170,0,337,189,130
"ENSG00000004897",4119.999,753.001,3899,4484.999,5704.999,4869,2517.999,1287.999,2736,2047,3738,892,1116,1608,552,3284,4340.999,884,2031,4813,1113,7023,6054,6790,6418.999,531,2191.708,2364,5261.001,4743,3681,1452,1326,4250,3465,1905.001,4672
"ENSG00000004939",34822.001,14136,13679,41422,46806,64793,25864,18629,32954,76427,42147,24526,9356,35086,52221,19467,56218,9312,41007.999,53521.001,26996.999,83520.999,72860,38500.999,32246,13568.999,38988.469,25475.999,136948.027,18140,12342,26118.999,10967,40565,46588.014,27174,50158
"ENSG00000004961",368,571,146,1135,1320,0,700,755,0,243,212,405,0,0,191,0,320,200,250,879,237,1284,1314,748,2405,228,174,2913,968,1494,136,607,416,2037,1354,417,0
"ENSG00000004975",0,46,130,114,0,0,399,0,0,119,0,0,0,2472,0,0,644,0,39,339,17,375,44,0,775,13,484,916,1455,0,195,0,0,147,754,544,957
"ENSG00000005007",2914,1526.001,2626,1923,3723,3076,1519,968,1480,3471,2633,432,1596,0,1100,4218,3991,2585,791.001,2451,131,2078,2381,2030.999,164,553.999,2268,4883,4664,6979,856,648,352,6134,4916,950,2961
"ENSG00000005020",4823.001,744,3696,2221,3308,2769,1894,302,4847,1059,954,2061,0,0,806.001,1187,2904,923,1546.001,4106,4666,3121.999,3436,9167.999,6599.001,975.001,3601,10063.001,7718.001,3421,14926,1495,788,2981,6100,1309,1880
"ENSG00000005022",2460,323,5146,3522,1603,4272,2606,1567,7,1533.001,4355,2187,1036,2861,1552,0,6221,1092,2397,4863,3591,3127,3420,3269,2253,538,3548,4152,5294,9321,2285,937,1202,2524,5079,3126,1126
"ENSG00000005059",863,38,787,323,355,0,558,437,0,341,62,0,0,3309,0,0,1519,0,96,1076,466,410,179,1238,1224.001,76,596,547,1342.001,691,733,1092,785,794,918,109,0
"ENSG00000005075",1310,718.327,3006.042,2728.519,12.358,2352.792,3195.834,1591,535,1674.113,2246.683,0,472,2037,437.513,0,4327.515,487.964,933.51,5996.192,559.095,7241.923,3346.288,1956.43,3678.543,641.771,2828.997,7943.078,8454.681,4421,1508.763,545.653,1166.329,1528.509,3018.491,1598.13,2486.346
"ENSG00000005100",612,0,802,378,0,0,673,619,0,450,71,0,0,0,294,0,0,377,181,1127,394,530,95,310,192,69,151,1655,447,235,171,1097,0,153,1124.001,231,0
"ENSG00000005102",430,41,235,291,0,0,312,235,0,0,127,0,1364,2651,534,0,211,0,327,2544,487,969,997,462,31,117,360,0,384,886,9,0,719,1,764,153,0
"ENSG00000005108",0,90,0,223,0,0,252,0,0,0,0,0,0,0,0,0,561,0,0,0,356,486,203,17,834,94,596,0,717,561,163,0,103,0,310,40,0
"ENSG00000005156",1012,34,1352,0,887,1210,427.999,135,0,662,1603,60,280,184,1356.001,655,0,0,427,1999.001,1226,3682,642.001,2888,0,127.999,687,848,1613,936,507,345.467,201,346,713,711,293
"ENSG00000005175",0,236,123,724,253,0,738,123,0,659,335,0,112,0,221,0,636,305,368,1107,0,1380,1317,705,904,94,848,1367,1816,7,1324,228,368,1864,959,788,239
"ENSG00000005187",51,0,27,83,0,0,628,0,0,17,772,0,0,0,0,0,0,0,189,39,198,23,738,510,0,57,234,119,1514,0,258,259,35,1617,457,0,17
"ENSG00000005189",0,0,167,0,1365,276,0,0,394,0,223,0,0,0,0,0,0,0,0,19,243,0,2,322,0,12,0,0,0,854,268,0,4,0,1,110,0
"ENSG00000005194",80,172,278,129,0,0,1095,0,0,1337,119,0,974,0,405,0,0,26,255,632,1291,831,245,452,0,127,214,218,772,203,297,0,210,279,627,168,0
"ENSG00000005238",3556,556.999,220,1643.968,1250,2102,1875,512,652,2915,1021,877,111,0,2907,1594,2647,144,970,2160,1309.999,3977,2162,903,617,208,1125,650,5231,1162,1136,432,833,1993,599,431,2154
"ENSG00000005243",586,94,298,0,0,0,715,98,0,167,54,634,0,0,0,646,97,0,90,0,197,403,0,0,0,0,0,0,389,0,209,0,0,0,0,341,0
"ENSG00000005249",11059.001,4701.001,13835.002,2398,7115.001,1408,5075,2722.001,328,2720.999,11033,1135,3810,84,5751.001,29,6187,405,1178,22189,3476,10273,10764.001,41211.999,8387,1260,4846,11822,7833.001,6429,49432.999,1490,2210,5736,9614,2857,3665
"ENSG00000005302",1897,546,805,1487,270,2703.001,1281.999,1063,69,731,1766,297,330,1610,1171.999,1240,1441,627,305,2703,1077,1739.999,1374,1090,472,471,1085,2629.999,3154,1035,629,8,540,638.001,2843.999,597,722
"ENSG00000005339",8278.001,2314,8596.001,6206.001,3631,10131,4384,2946,1614,4156,8526.999,2825,3869,3867,3324,0,3473,1547,2836,10157.001,5097.001,8896,5545.999,6112,6914,2161,5938,5020,13361,11429,2807.999,1385,1520,4614,9207,3456,6394
"ENSG00000005379",0,189,1098,490,885,0,722,757,0,235,840,0,0,0,0,0,0,1227,73,128,0,996,391,161,0,0,2972,384,40,0,68,20,207,48,1579,430,0
"ENSG00000005381",3224,12,141,1578,4239,0,350,277,442,3167,620,966,392,0,529,0,2585,616,162,271,973,1078,1480,1562,1450,164,1957,871,3339,2391,286.001,103,157,209,2693,930,225
"ENSG00000005436",1791,95,404,456,288,2526,86,178,128,916,53,0,2650,0,102,0,2008,28,5,869,0,34,133,1449,294,88,0,670,1117,586,196,215,115,1041,480,234,0
"ENSG00000005448",0,97,154,70,0,0,0,0,0,676.001,448,1550,183,0,0,0,85,0,0,1054,246,664,209,0,1213,34,1128,252,84,1357,82,0,77,1156,481,223,5
"ENSG00000005469",0,0,84,148,340,0,183,23,0,473,96,0,596,0,0,0,268,0,0,182,0,38,0,448,0,0,0,509,90,3,16,223,0,0,810,0,0
"ENSG00000005471",647,25,361,124,0,0,64,884,0,25,2,0,0,0,5,0,660,0,1,1027,309,147,593,0,0,0,834,0,1500,2509,37,155,303,1493,532,98,0
"ENSG00000005483",4543,1549,6172,7438.999,11455,5581,4761.999,3389,3272,4744,7526,365,1265,1918,4426,3018,14999.001,6082,2938.001,14499,5257,9087,6924,3649,4562,1228.001,11914,11339,9744,6917,5186,1635.001,2147,3203,9249.999,3849,3321
"ENSG00000005486",0,0,236,40,973,0,131,0,0,54,259,0,0,0,524,0,0,0,0,182,0,3,193,616,105,186,0,570,125,0,218,97,18,0,593,0,0
"ENSG00000005700",1086,131,1562,1584.001,207,0,2158,383,719,595,949,0,0,6428,1000.001,0,853,0,222,1479,100,1820,880,3015,1799,387,269,2006,2430,1335,1173,926,846,1067,1393,865,290
"ENSG00000005801",0,11,680,224,0,370,29,0,0,333,312,0,0,0,248,0,1147,0,106,0,0,376,86,0,93,8,0,186,99,713,238.999,98,0,0,346,297,5
"ENSG00000005810",7485.999,1602,6624.999,6248.002,4545.999,4314,3176.002,3630,1158,6393.001,5551.999,525,0,4915,4588,1656,4077,2318,2981,8958,7912.001,6461.999,5340,4434,2720.001,871.001,4950.001,5356,7284,9006.001,5778,3332,2330,4690,8852,2717.999,1279
"ENSG00000005812",4915,426,2087,1420,1713,0,1768,1015,2280,771,1901,277,0,1033,1270,460,2306,476,1133,5677,3719,3869,1493,1355,3394,445,225,1533,3759.999,2151,1961,653,359,724,3995,1689,1770
"ENSG00000005844",3387.001,647,8569.999,3555.999,7052.999,1521,6118,2463.999,260,12335.999,5373.001,2068,4447,5620,3594.001,2695,8567.999,1280.001,2089,13490.999,8612,7480.999,5914,6074,8880.001,1245.002,4764,18372.999,19403.999,8367,2714,1627.001,1546,7320,11990,7204.001,2695
"ENSG00000005882",3,127,201,1144,154,236,378,167,0,843.999,665.999,642,0,462,0,0,10,208,0,670,510,1546.999,72,0,0,371,530,1141,767,1297.001,57,248,0,488,1230,414,650
"ENSG00000005884",0,0,0,70,0,0,387,0,0,701,177,0,0,0,916,391,0,20,0,0,1803,312,88,0,658,73,0,124,0,456,0,0,0,0,39,0,336
"ENSG00000005889",2195,535.001,754.999,1308.999,1219,517,1359.001,1528,0,1570,1739.001,1372,414,1368,1434,806,2499,1807,1165,1984,2695.001,3818.001,730,4641,2878.999,383,1199,2242,3932,6070,2279,428,1124,61,3596.999,1208,461
"ENSG00000005893",213,149.001,238,48,159,8,214,1,1135,332,199,0,0,0,0,0,698,0,5,454,477,263,627,273,0,82,0,0,2828.999,269,700,233,0,0,384,37,0
"ENSG00000005961",19443,2382,7695.001,1816,7749,1019,2376,417,800,3487,8978,3790,0,81,2122.999,1166,5281,918,1856,26713,4030,1466,6121,13986,2010,771,3463.001,6057,8218,995,6849,326,1943.001,492,4019,1307,1178
"ENSG00000006007",475.999,664,1380,531,1191,7509,1476,948,3934,1873,1123,459,984,0,1480,0,579,1061,960,1902,3166,4180,2219.001,1237,1313,367,2042,2190,7498,2238,2603,524,500,289,2027,1249,1616
"ENSG00000006015",0,20,52,332,642,0,727,0,0,403,199,0,1,0,0,0,0,0,290,2331,0,434,1652,784,656,201,461,357,1543,496,603,132,614,110,524,390,1259
"ENSG00000006025",0,0,37,286,0,0,0,13,0,16,391,0,0,0,169,287,0,272,0,4,601,93,0,0,26,34,0,0,182,161,56,174,226,0,411,584,0
"ENSG00000006062",1790,524,271,969,612,0,118,362,366,452,632,0,0,458,262,317,1346,83,509,1495,0,2812,2557,1033,697,207,571,831,666,1383,66,420,526,1725,1133,116,992
"ENSG00000006125",5161,1372.999,5303,5782,8416.999,8821,2760,2877,1198,4411,3203,1669,2830,360,4556,3718,2988,1844,1952,11108,4952,5049.001,5489,5661,5588.001,1164.999,3813,4018,8962,5461,5310,2078,1977,2325.999,10352,4804,5582
"ENSG00000006194",728,54,1406,2317,0,0,735.116,398,201,812,567,0,292,0,2346,0,313.741,0,690,1618.699,1926,1527,2347,1590,0,240.937,100,1418.999,370,318,246,786,146.947,1157,1647.835,169.314,571
"ENSG00000006210",409,336,444,170,0,1119,30,0,340,107,1034,227,0,0,0,0,0,0,41,78,431,123,146,328,294,24,3,730,0,0,38,60,0,310,185,95,0
"ENSG00000006282",0,0,90,47,0,0,97,0,0,167,437,0,147,0,0,0,0,0,432,703,590,203,245,0,0,32,0,0,371,0,581,124,0,179,138,0,0
"ENSG00000006327",0,0,0,48,0,0,0,0,0,47,92,0,0,0,0,866,0,0,219,0,0,33,0,176,0,3,0,136,0,240,8,0,0,0,124,0,238
"ENSG00000006432",229,0,739.001,304.001,0,376,0,108,0,540,0,0,587,0,0,0,617,0,48,0,169,506,0,0,0,0,0,309,580,42,17,12,0,53,263,0,0
"ENSG00000006451",706,161,4198,1469,1621,0,2616,952,495,793,968,1074,1980,150,1432,2509,2618,917,702,2403,2056,4065,2385,1642,3179,145,2233,280,1934,1925,952,816,903,1107,3089,1833,944
"ENSG00000006459",4793,751,2999,4263,3280.999,6915,2722,2085,1425,1832,5116,415,3634,2937,3583,286,4829,1644,3489,3660,3393,4310,6013,6252,5220,978,2162,3860,12322,3473,4428,1417,628,3649,5001,1625,1553
"ENSG00000006530",446,118,768,98,2415,1720,346,225,627,542,52,0,90,0,163,0,1932,618,162,2483,40,881,861,609,966,18,982,330,809.001,1600,247,96,243,163,708,503,0
"ENSG00000006534",196,511,963.001,786,878,0,704,271,494,976,1441,1173,1272,0,964.001,0,703,908,1980,1878,1536,1459,1678,3619,1327,483,253,3172.999,3585,3561.001,139,339,369,199,1373,3106.001,2452
"ENSG00000006555",430,54,0,58,0,0,0,81,0,0,14,0,0,0,228,0,10,0,139,250,0,0,0,60,0,106,0,141,0,0,0,0,0,0,207,100,0
"ENSG00000006576",513,107,316,1,409,0,405,396,0,0,1524,0,0,323,495,0,1,841,46,930,579,641,256,657,1691,218,513,837,571,520,796.999,232,0,17,744,438,661
"ENSG00000006607",735,110.999,1127,1080,241,1580,578,1167,29,1042,878,0,469,1802,1059,0,996,0,527,2083.001,380,1668,1886,2416,1061,213,1299,1748,1375,2411,1594.001,628,132,352,1359,1041,1001
"ENSG00000006625",269,0,149,55,0,212,40,47,0,417.716,777,0,0,0,0,0,854,0,154,302.791,0,697.001,22,0,133,52.211,0,513.974,849,0,275,0,0,13.524,461,0,0
"ENSG00000006634",0,352,935,357,0,0,557,126,134,1168,162,0,0,0,0,0,335,211,160,1048,148,1136,1019,1672,0,44,28,439,311,891,205,290,62,0,655.999,272,731
"ENSG00000006638",1446,50,770,216,0,0,1282,101,0,369,82,0,1,0,327,0,934,314,313,717,95,87,413,1730,0,145,366,91,850,803,724,299,130,370,238,766,1106
"ENSG00000006652",651,136,1030.999,532,96,0,749,399,0,528,328,0,0,244,463,0,1135,0,0,2423.001,354,733,853,1549.457,118,123.999,520.999,1700.71,1316.606,722,3354.835,6,288.999,126,1276,172,136.999
"ENSG00000006695",0,62,0,212,1003,0,312,0,0,0,0,0,0,0,118,0,0,0,220,254.175,1186,466,0,454,0,66,0,320,360,0,161,0,186,0,635,84,0
"ENSG00000006712",3946,499,3246,3123,3533,358,2093,2340,993,2882,4830,785,5217,293,3312,0,1193,653,1524,4485,979,6188,2354,8135,7236,1349,3926,4505,3407,4980,495,1482,476,2320,5954,825.999,768
"ENSG00000006715",2548,498,1127,1894,2584,960,1688.999,192,62,1435,2281,484,0,3571,1738,0,1863.001,935,565.001,3207.001,1182,2774.999,2913,1245.001,2786,565.999,3208,2094.999,2918,1180,2443,612,272.999,1131.001,1853,1174.001,665
"ENSG00000006744",1247.999,583,338,629,744,0,662,1435,0,389.999,170,0,0,313,551,0,516,0,1888,1716,980,2145,271,1085,0,95,1618,917,460,265,1234,380,172,185,983,269,1288
"ENSG00000006756",0,77,0,65,0,1610,113,0,0,0,0,0,0,0,0,0,693,0,0,0,0,313,0,0,0,0,241,0,411,454,0,24,0,0,56,299,100
"ENSG00000006757",0,66,116,0,951,0,140,79,0,0,0,0,849,0,3,126,0,607,65,4,325,65,0,0,0,24,0,538,182,103,52,0,0,0,317,57,133
"ENSG00000006831",244,419,619,1064,1313,431,296,240,0,650,1032,150,2251,0,426,1416,1520,2,250,2557,1234,1970,1343,0,481,210,2333,1581,1369,3542,1360,1525,203,717,1382,167,1927
"ENSG00000007047",1345.999,425,2165,1249,0,1763,2075,430.001,179,1745.001,2015,33,0,396,1650,0,3017,183,1265,3246,182,2052,1247,1560,3521,538,2180.001,1170,4336,3679,899.001,1467,553,844,2512.999,1668,504
"ENSG00000007080",34,651,1465,961,0,1678,1501,1090,1111,2307,1379,0,0,1,956,356,1210,105,1952,1604,231,1414,1792,768,533,271,3750,2188,3307,904,444,672,310,461,2570,1764,1491
"ENSG00000007129",0,65,283,181,167,0,302,265,0,417,440,0,0,0,0,0,0,0,3,1679,0,514,176,317,0,50,134,823,320,770,51,253,0,151,817.001,215,120
"ENSG00000007168",2180,1042.999,3110,1789,977,341,3468,1667.999,580,3176.999,3295,1,1948,1752,1002,1253,4954,510,1785.999,2286.999,2635,1973,1638.999,5716,2223,746.001,943,2022,3581.001,2536.999,2438.001,973.001,844.999,2766,3855,1447.001,2254
"ENSG00000007202",1585,762,5224.999,1275,1874,0,1734.001,773,142,2778,1154,1271,1583,96,1664.001,0,2542,565,975,944,749,1133,2173.001,3117,2622,560,909,2072,2164,2966,714,853,851,1290,2144,2351,996
"ENSG00000007237",3207,718,4125,3140,527,3127,3617.001,1001,1115,4907,2131,211,165,485,1075,125,4638.001,2757,833,6567.999,1906,2646.001,3875,657,4485,557.999,1824,4773,6038,1886,904.001,1172,427.999,2641,6527,1890.001,1363
"ENSG00000007255",0,106,371,130,0,0,0,48,0,82,247,0,0,0,0,0,52,111,4,1717,547,267.999,1026,0,790,0,79,372,372,37,0,155,0,1059,604,35,0
"ENSG00000007264",1186,665,2237,1031,332,835.999,2223,474,1170,1959.001,1678,405,0,1038,1486,2185,2841.001,1894,526,6075,1580,2721,2244,5799.001,4095,735,1985,3056.001,4893,4414,1524,1994,1216,340,3100,1392,1594
"ENSG00000007312",925,50,1062,823,148,0,564,723,826,1003,433,219,399,0,184,0,94,0,1385,1351,2027,394,891,505,0,192,550,2418,297,576,0,348,120,561,578,621.999,959
"ENSG00000007341",0,229,763,539,0,0,450,561,9,652,17,0,0,1334,378,818,336,120,125,426.999,123,599,386,1777.999,331,76,1404,978.999,1292,1074,1050.001,119,206,1195,375,337,0
"ENSG00000007350",804,0,115,2,0,0,53,0,0,214,0,0,0,0,295,0,0,0,0,1679,0,0,0,646,231,0,0,0,334,0,0,131,0,1212,260,0,610
"ENSG00000007376",0,0,269,108,0,1243,225,140,0,2122,444,0,0,0,0,0,11,87,0,466,1412,159,235,114,0,125,0,1525,0,0,0,68,31,237,106,13,0
"ENSG00000007392",1155,419,685,202,0,0,113,409,0,159,727,76,1194,0,109,0,0,0,236,1341,5518.999,1721,2309.999,846,1716,97,382,1916,782,663,632,555,487,413,1101,215,587
"ENSG00000007520",1358,465,2011,1535,4787,416,698,366,165,3007,1360,187,1983,4336,558,783,1151,658,1268,1504,3977,1252,2548,332,64,394,2653,2762,2630,5549,750,164,388,9,3855,687,96
